Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.76,0.8,0.8,0.78,0.8,1.16,1.04,1.12,1.12,1.08
0.78,0.78,0.8,0.78,0.28,1.08,1.08,1.08,1.08,1.08
0.8,0.8,0.8,0.28,0.4,1.2,1.48,1.6,1.12,1.08
0.34,0.36,0.34,0.42,0.48,1.6,1.4,1.44,1.52,1.12
0.44,0.44,0.46,0.5,0.52,1.44,1.36,1.4,1.48,1.6
0.5,0.5,0.52,0.52,0.56,1.32,1.32,1.32,1.32,1.4
0.52,0.52,0.54,0.56,0.58,1.32,1.28,1.36,1.36,1.4
0.58,0.56,0.58,0.58,0.6,1.32,1.28,1.32,1.32,1.36
0.62,0.58,0.6,0.62,0.64,1.32,1.24,1.24,1.2,1.24
0.6,0.6,0.6,0.62,0.64,1.2,1.2,1.24,1.24,1.28
0.62,0.64,0.64,0.64,0.64,1.24,1.2,1.24,1.24,1.24
0.62,0.64,0.64,0.64,0.68,1.28,1.12,1.24,1.24,1.28
0.66,0.68,0.68,0.68,0.68,1.2,1.2,1.2,1.2,1.32
0.68,0.68,0.68,0.7,0.7,1.16,1.2,1.16,1.2,1.24
0.7,0.7,0.7,0.72,0.72,1.2,1.16,1.2,1.2,1.16
0.68,0.7,0.7,0.7,0.72,1.16,1.16,1.2,1.2,1.16
0.7,0.72,0.7,0.72,0.74,1.24,1.12,1.24,1.2,1.2
0.74,0.74,0.72,0.74,0.74,1.2,1.16,1.2,1.16,1.2
0.76,0.74,0.76,0.74,0.76,1.2,1.16,1.16,1.24,1.12
0.76,0.76,0.78,0.76,0.74,1.16,1.16,1.16,1.2,1.16
0.74,0.78,0.74,0.76,0.76,1.16,1.12,1.12,1.16,1.08
0.76,0.76,0.78,0.76,0.76,1.08,1.04,1.16,1.08,1.16
0.78,0.78,0.76,0.78,0.78,1.2,1.12,1.16,1.08,1.16
0.76,0.78,0.78,0.76,0.78,1.12,1.2,1.12,1.12,1.12
0.78,0.8,0.78,0.8,0.78,1.04,1.12,1.2,1.16,1.16
0.76,0.8,0.78,0.78,0.8,1.04,1.16,1.12,1.2,1.16
0.78,0.78,0.8,0.8,0.34,1.16,1.12,1.16,1.12,1.16
0.8,0.78,0.8,0.34,0.42,1.16,1.76,1.56,1.12,1.08
0.36,0.4,0.4,0.46,0.5,1.52,1.4,1.44,1.52,1.16
0.46,0.48,0.46,0.5,0.52,1.4,1.44,1.28,1.36,1.48
0.5,0.52,0.5,0.54,0.56,1.36,1.44,1.32,1.32,1.44
0.56,0.52,0.54,0.56,0.58,1.36,1.28,1.2,1.32,1.32
0.58,0.58,0.56,0.58,0.6,1.28,1.28,1.2,1.28,1.36
0.6,0.6,0.6,0.6,0.62,1.24,1.28,1.24,1.24,1.28
0.6,0.62,0.62,0.64,0.64,1.24,1.24,1.44,1.24,1.2
0.64,0.66,0.64,0.66,0.68,1.2,1.32,1.24,1.2,1.24
0.64,0.66,0.66,0.66,0.68,1.2,1.24,1.12,1.28,1.16
0.68,0.68,0.66,0.68,0.68,1.2,1.16,1.16,1.24,1.2
0.68,0.68,0.68,0.7,0.7,1.2,1.2,1.2,1.2,1.2
0.7,0.68,0.68,0.7,0.74,1.16,1.16,1.24,1.24,1.16
0.72,0.72,0.72,0.72,0.7,1.04,1.2,1.24,1.2,1.16
