Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.92,0.9,0.9,0.92,0.92,1.04,1.04,1.04,1.04,1.04
0.88,0.9,0.92,0.9,0.94,0.96,1.04,1.04,1.04,1.04
0.9,0.9,0.92,0.92,0.92,0.96,0.96,0.96,0.88,0.88
0.9,0.92,0.92,0.92,0.92,0.88,0.96,0.96,0.96,0.96
0.92,0.94,0.9,0.94,0.92,1.04,0.96,1.04,0.96,0.96
0.94,0.96,0.94,0.94,0.94,0.96,0.96,1.04,1.04,1.04
0.94,0.94,0.16,0.94,0.96,0.88,0.96,0.96,0.96,0.96
0.34,0.22,0.42,0.18,0.1,0.88,0.96,1.04,0.96,0.96
0.56,0.44,0.58,0.4,0.34,1.44,1.52,1.04,1.52,1.52
0.68,0.62,0.72,0.56,0.56,1.36,1.36,1.52,1.36,1.36
0.74,0.7,0.76,0.7,0.66,1.2,1.28,1.36,1.2,1.2
0.78,0.78,0.78,0.74,0.74,1.2,1.2,1.2,1.2,1.2
0.8,0.78,0.8,0.76,0.78,1.2,1.2,1.2,1.2,1.2
0.82,0.8,0.82,0.82,0.8,1.2,1.2,1.2,1.2,1.2
0.82,0.84,0.8,0.82,0.82,1.12,1.2,1.12,1.12,1.12
0.82,0.84,0.84,0.84,0.82,1.2,1.2,1.2,1.2,1.2
0.86,0.86,0.88,0.84,0.86,1.12,1.04,1.04,1.2,1.2
0.84,0.86,0.88,0.84,0.84,1.12,1.04,1.12,1.12,1.12
0.84,0.86,0.88,0.86,0.86,1.12,1.12,1.04,1.12,1.12
0.86,0.88,0.88,0.86,0.86,1.04,1.12,1.12,1.04,1.04
0.86,0.88,0.88,0.88,0.86,1.12,1.04,1.04,1.04,1.04
0.86,0.88,0.88,0.88,0.88,1.04,1.12,1.12,1.04,1.04
0.88,0.88,0.9,0.88,0.88,0.96,1.12,1.04,1.12,1.12
0.88,0.88,0.9,0.88,0.88,1.04,1.04,1.04,0.96,0.96
0.9,0.9,0.9,0.9,0.9,1.04,1.04,1.04,0.96,0.96
0.9,0.9,0.92,0.92,0.92,1.04,1.04,0.96,1.04,1.04
0.9,0.92,0.92,0.92,0.92,1.04,1.04,0.96,1.04,1.04
0.92,0.88,0.92,0.9,0.92,0.96,1.12,0.96,0.96,0.96
0.92,0.92,0.92,0.92,0.92,0.96,0.96,0.96,0.96,0.96
0.92,0.94,0.92,0.94,0.92,1.04,0.96,0.96,0.96,0.96
0.92,0.94,0.96,0.92,0.96,1.04,0.96,0.96,1.04,1.04
0.94,0.94,0.22,0.94,0.94,0.96,0.96,0.96,0.96,0.96
0.36,0.26,0.44,0.22,0.18,0.88,0.96,0.96,0.96,0.96
0.58,0.48,0.62,0.44,0.4,1.36,1.44,0.96,1.44,1.44
0.7,0.64,0.72,0.6,0.56,1.28,1.28,1.44,1.36,1.36
0.74,0.74,0.74,0.7,0.68,1.2,1.28,1.36,1.28,1.28
0.78,0.78,0.8,0.76,0.74,1.28,1.28,1.28,1.2,1.2
0.8,0.78,0.82,0.78,0.78,1.2,1.2,1.2,1.2,1.2
0.8,0.8,0.82,0.8,0.8,1.12,1.04,1.2,1.2,1.2
0.84,0.82,0.84,0.84,0.82,1.2,1.12,1.2,1.2,1.2
0.84,0.86,0.86,0.82,0.84,1.12,1.2,1.12,1.2,1.2
0.86,0.86,0.86,0.86,0.86,1.2,1.2,1.2,1.12,1.12
0.86,0.86,0.88,0.84,0.86,1.04,1.12,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.04,1.04,1.12,1.12,1.12
0.88,0.86,0.86,0.86,0.86,1.12,1.12,1.04,1.04,1.04
0.88,0.88,0.88,0.86,0.88,1.04,1.04,1.12,1.04,1.04
0.86,0.88,0.86,0.88,0.86,1.12,0.88,1.04,1.04,1.04
0.88,0.88,0.9,0.88,0.88,1.04,1.12,1.04,1.04,1.04
0.88,0.88,0.9,0.88,0.9,0.96,1.2,1.04,1.04,1.04
0.88,0.9,0.9,0.9,0.9,1.12,1.04,1.04,1.12,1.12
0.9,0.9,0.9,0.88,0.88,0.96,0.96,1.04,1.04,1.04
0.9,0.9,0.94,0.9,0.92,0.96,1.04,1.12,1.04,1.04
0.9,0.9,0.92,0.92,0.92,1.04,1.12,0.96,0.96,0.96
0.92,0.92,0.92,0.92,0.94,1.04,0.96,0.96,0.96,0.96
0.92,0.92,0.94,0.92,0.96,0.96,1.04,1.04,0.96,0.96
0.94,0.94,0.94,0.96,0.94,0.96,1.04,0.96,0.96,0.96
0.92,0.94,0.28,0.94,0.96,0.96,0.96,0.96,0.96,0.96
0.42,0.3,0.48,0.28,0.24,0.96,0.96,0.96,0.96,0.96
0.62,0.52,0.64,0.46,0.42,1.36,1.44,0.96,1.52,1.52
0.72,0.66,0.72,0.64,0.6,1.28,1.28,1.44,1.36,1.36
0.76,0.74,0.8,0.74,0.7,1.28,1.28,1.36,1.28,1.28
0.8,0.76,0.78,0.76,0.78,1.2,1.12,1.28,1.28,1.28
0.8,0.8,0.82,0.8,0.78,1.12,1.2,1.2,1.2,1.2
0.84,0.8,0.84,0.78,0.8,1.12,1.12,1.2,1.2,1.2
0.84,0.82,0.82,0.82,0.82,1.2,1.12,1.2,1.2,1.2
0.86,0.84,0.86,0.84,0.84,1.2,1.2,1.2,1.12,1.12
0.86,0.84,0.86,0.86,0.84,1.12,1.12,1.2,1.12,1.12
0.86,0.84,0.86,0.86,0.86,1.04,1.12,1.04,1.12,1.12
0.86,0.86,0.88,0.86,0.86,1.04,1.04,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.12,1.04,1.12,1.04,1.04
0.88,0.88,0.9,0.88,0.86,1.04,1.04,1.04,1.12,1.12
0.86,0.88,0.88,0.86,0.88,1.04,1.04,1.04,1.04,1.04
0.88,0.88,0.92,0.9,0.9,0.96,1.04,1.12,1.04,1.04
0.9,0.88,0.88,0.88,0.9,1.04,1.04,1.04,1.04,1.04
0.9,0.9,0.92,0.92,0.9,0.96,0.96,1.04,1.04,1.04
0.9,0.92,0.92,0.92,0.9,1.04,1.04,1.04,0.96,0.96
0.92,0.92,0.92,0.92,0.92,1.04,1.12,1.04,0.96,0.96
0.92,0.92,0.92,0.92,0.92,0.96,0.96,0.96,1.04,1.04
0.92,0.92,0.94,0.92,0.92,1.04,1.04,0.96,0.96,0.96
0.92,0.92,0.92,0.92,0.92,1.04,1.04,1.04,0.96,0.96
0.94,0.94,0.96,0.94,0.94,0.96,0.96,1.04,1.04,1.04
0.2,0.96,0.34,0.96,0.94,0.96,1.04,0.96,0.96,0.96
0.46,0.34,0.52,0.32,0.28,0.88,0.96,0.88,0.96,0.96
0.62,0.56,0.66,0.5,0.44,1.52,1.6,0.8,1.52,1.52
0.72,0.68,0.74,0.66,0.62,1.28,1.36,1.44,1.36,1.36
0.74,0.76,0.76,0.72,0.7,1.2,1.2,1.36,1.28,1.28
0.78,0.78,0.8,0.78,0.78,1.28,1.2,1.2,1.04,1.04
0.8,0.78,0.82,0.78,0.8,1.2,1.28,1.12,1.2,1.2
0.82,0.82,0.84,0.82,0.8,1.04,1.12,1.2,1.28,1.28
0.84,0.82,0.86,0.8,0.82,1.12,1.2,1.2,1.2,1.2
0.84,0.82,0.86,0.86,0.82,1.04,1.12,1.2,1.2,1.2
0.84,0.82,0.86,0.84,0.84,1.12,1.12,1.12,1.2,1.2
0.86,0.86,0.86,0.84,0.86,1.04,1.12,1.12,1.04,1.04
0.86,0.86,0.86,0.84,0.86,1.12,1.12,1.04,1.04,1.04
0.86,0.88,0.9,0.86,0.86,1.04,1.12,1.04,1.12,1.12
0.86,0.86,0.9,0.88,0.86,1.12,1.04,1.2,1.12,1.12
0.86,0.9,0.88,0.88,0.88,1.12,1.12,1.04,1.04,1.04
0.88,0.88,0.9,0.88,0.92,1.12,1.04,1.04,1.04,1.04
0.88,0.88,0.9,0.9,0.9,1.12,0.96,0.96,0.88,0.88
0.92,0.88,0.9,0.88,0.9,1.04,1.04,1.04,0.96,0.96
0.9,0.9,0.9,0.9,0.9,1.04,1.04,1.04,1.12,1.12
0.9,0.92,0.92,0.92,0.92,1.04,1.12,1.04,1.04,1.04
0.92,0.9,0.94,0.92,0.92,1.04,1.2,0.96,1.04,1.04
0.92,0.92,0.92,0.94,0.92,1.04,0.96,0.96,0.88,0.88
0.94,0.92,0.94,0.96,0.92,1.04,1.04,0.96,0.96,0.96
0.94,0.92,0.94,0.94,0.94,0.96,0.96,0.96,1.04,1.04
0.24,0.94,0.34,0.94,0.96,0.96,1.04,0.96,1.04,1.04
0.5,0.36,0.56,0.34,0.28,0.96,0.96,0.96,0.96,0.96
0.66,0.56,0.68,0.52,0.5,1.52,1.36,0.96,1.44,1.44
0.72,0.68,0.74,0.68,0.62,1.28,1.28,1.44,1.28,1.28
0.78,0.76,0.78,0.74,0.74,1.28,1.2,1.36,1.28,1.28
0.78,0.8,0.78,0.76,0.78,1.2,1.2,1.2,1.2,1.2
0.82,0.8,0.8,0.78,0.8,1.2,1.2,1.2,1.12,1.12
0.82,0.82,0.84,0.8,0.8,1.12,1.2,1.12,1.2,1.2
0.84,0.82,0.82,0.84,0.82,1.12,1.04,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.84,1.12,1.2,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.12,1.12,1.12,1.12,1.12
0.86,0.86,0.88,0.86,0.86,1.12,1.04,1.04,1.12,1.12
0.88,0.88,0.88,0.88,0.86,1.04,1.04,1.04,1.04,1.04
0.88,0.88,0.88,0.86,0.86,1.04,1.04,1.04,1.12,1.12
0.88,0.88,0.9,0.9,0.86,1.04,1.04,1.12,1.12,1.12
0.88,0.88,0.9,0.88,0.9,1.04,1.12,0.96,1.04,1.04
0.88,0.86,0.9,0.88,0.88,1.04,1.04,1.04,1.12,1.12
0.9,0.9,0.9,0.88,0.9,0.96,1.04,1.04,0.96,0.96
0.88,0.9,0.9,0.88,0.88,1.04,1.04,0.96,0.96,0.96
0.9,0.9,0.9,0.92,0.9,0.96,0.88,1.12,1.04,1.04
0.88,0.9,0.9,0.92,0.94,0.96,1.12,1.04,0.96,0.96
0.9,0.92,0.94,0.92,0.92,0.96,1.04,0.96,0.96,0.96
0.92,0.92,0.94,0.94,0.92,0.96,0.96,1.04,0.88,0.88
0.94,0.92,0.94,0.96,0.94,0.96,1.04,0.96,0.96,0.96
0.94,0.96,0.94,0.96,0.94,0.96,0.96,1.04,0.96,0.96
0.3,0.16,0.12,0.14,0.94,0.88,0.96,0.96,0.96,0.96
0.54,0.42,0.38,0.38,0.36,0.96,0.96,0.96,0.96,0.96
0.68,0.62,0.6,0.54,0.52,1.44,1.6,1.52,1.76,1.76
0.74,0.72,0.68,0.68,0.66,1.36,1.36,1.36,1.44,1.44
0.76,0.74,0.74,0.76,0.74,1.28,1.2,1.28,1.28,1.28
0.8,0.78,0.78,0.78,0.78,1.2,1.28,1.2,1.28,1.28
0.8,0.8,0.78,0.82,0.82,1.2,1.28,1.2,1.2,1.2
0.82,0.8,0.82,0.82,0.82,1.12,1.2,1.12,1.12,1.12
0.86,0.84,0.84,0.82,0.82,1.2,1.2,1.12,1.12,1.12
0.84,0.84,0.86,0.86,0.82,1.2,1.12,1.12,1.04,1.04
0.84,0.86,0.84,0.86,0.84,1.12,1.04,1.04,1.2,1.2
0.86,0.86,0.86,0.88,0.86,1.04,1.12,1.04,1.12,1.12
0.88,0.86,0.86,0.86,0.86,1.04,1.04,1.04,1.12,1.12
0.86,0.86,0.86,0.88,0.86,1.12,1.04,1.04,0.96,0.96
0.88,0.9,0.88,0.9,0.86,1.04,1.04,1.12,1.04,1.04
0.88,0.88,0.86,0.9,0.9,1.04,1.04,1.04,1.12,1.12
0.86,0.88,0.86,0.88,0.88,1.04,1.04,1.04,1.04,1.04
0.9,0.9,0.88,0.92,0.9,1.04,1.04,1.2,0.96,0.96
0.88,0.9,0.9,0.9,0.92,1.04,1.04,1.04,1.04,1.04
0.9,0.9,0.92,0.94,0.88,1.04,0.96,1.04,1.12,1.12
0.92,0.92,0.9,0.9,0.92,0.96,0.96,0.96,1.04,1.04
0.92,0.92,0.92,0.94,0.94,0.96,0.96,0.96,0.96,0.96
0.94,0.94,0.94,0.92,0.94,0.96,0.96,0.96,1.04,1.04
0.94,0.96,0.96,0.94,0.94,0.96,0.96,0.96,0.96,0.96
0.94,0.94,0.94,0.94,0.94,0.96,0.96,0.96,0.96,0.96
0.34,0.22,0.2,0.2,0.12,1.04,0.96,0.96,0.96,0.96
0.58,0.44,0.44,0.4,0.38,0.88,0.96,0.88,1.04,1.04
0.68,0.62,0.6,0.6,0.56,1.36,1.52,1.44,1.52,1.52
0.76,0.72,0.72,0.7,0.68,1.28,1.36,1.28,1.36,1.36
0.78,0.78,0.76,0.76,0.76,1.28,1.28,1.28,1.2,1.2
0.8,0.78,0.78,0.8,0.78,1.2,1.2,1.2,1.28,1.28
0.82,0.8,0.82,0.8,0.8,1.12,1.28,1.2,1.2,1.2
0.86,0.82,0.82,0.84,0.84,1.2,1.2,1.12,1.12,1.12
0.84,0.84,0.84,0.84,0.84,1.12,1.2,1.12,1.2,1.2
0.86,0.86,0.84,0.82,0.84,1.2,1.12,1.04,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.12,1.2,1.12,1.12,1.12
0.86,0.86,0.86,0.84,0.86,1.04,1.2,1.04,1.12,1.12
0.88,0.86,0.88,0.86,0.86,1.04,1.12,1.04,1.04,1.04
0.86,0.86,0.88,0.86,0.86,1.12,1.12,1.04,0.96,0.96
0.88,0.9,0.88,0.86,0.88,1.12,1.04,1.12,1.04,1.04
0.88,0.88,0.88,0.88,0.9,1.12,1.04,0.96,1.04,1.04
0.88,0.88,0.88,0.88,0.88,1.04,0.96,0.96,1.04,1.04
0.9,0.88,0.9,0.9,0.9,0.96,0.96,0.96,1.04,1.04
0.92,0.92,0.92,0.9,0.9,1.12,0.96,0.96,0.96,0.96
0.9,0.92,0.92,0.92,0.88,0.96,1.04,0.96,0.96,0.96
0.9,0.9,0.92,0.92,0.92,1.04,0.96,1.04,0.96,0.96
0.9,0.9,0.9,0.92,0.94,0.96,1.04,1.04,1.04,1.04
0.94,0.92,0.94,0.9,0.94,0.96,0.88,0.96,0.96,0.96
0.94,0.96,0.92,0.96,0.94,1.04,0.96,1.04,0.96,0.96
0.92,0.94,0.94,0.94,0.94,0.96,0.96,1.04,0.96,0.96
0.38,0.26,0.24,0.24,0.2,0.96,0.96,0.96,0.96,0.96
0.58,0.5,0.46,0.44,0.4,0.88,0.96,0.96,1.04,1.04
0.7,0.64,0.64,0.62,0.56,1.44,1.44,1.44,1.52,1.52
0.74,0.74,0.72,0.72,0.68,1.28,1.28,1.36,1.28,1.28
0.76,0.78,0.76,0.78,0.76,1.2,1.2,1.2,1.2,1.2
0.8,0.8,0.78,0.78,0.78,1.2,1.12,1.28,1.28,1.28
0.82,0.8,0.8,0.82,0.8,1.12,1.28,1.2,1.28,1.28
0.84,0.82,0.84,0.8,0.8,1.12,1.28,1.2,1.12,1.12
0.84,0.84,0.84,0.84,0.82,1.2,1.2,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.84,1.12,1.04,1.12,1.2,1.2
0.86,0.86,0.84,0.86,0.86,1.12,1.12,1.2,1.2,1.2
0.86,0.86,0.84,0.86,0.84,1.04,1.12,1.04,1.2,1.2
0.86,0.86,0.88,0.86,0.88,1.12,1.12,1.12,1.04,1.04
0.88,0.88,0.88,0.86,0.88,1.12,1.04,1.04,1.04,1.04
0.88,0.88,0.88,0.88,0.88,1.04,1.04,1.12,1.04,1.04
0.88,0.9,0.88,0.88,0.88,1.04,1.04,1.12,1.12,1.12
0.88,0.88,0.88,0.88,0.9,1.04,0.96,1.04,1.04,1.04
0.9,0.9,0.9,0.88,0.88,0.88,1.12,1.12,0.96,0.96
0.9,0.9,0.92,0.9,0.9,0.96,1.04,1.04,1.12,1.12
0.92,0.9,0.92,0.92,0.92,1.04,1.04,1.12,1.04,1.04
0.92,0.92,0.92,0.92,0.92,1.04,0.96,1.04,1.04,1.04
0.92,0.92,0.9,0.92,0.92,0.96,0.96,0.96,0.96,0.96
0.92,0.92,0.92,0.92,0.94,1.04,1.04,0.96,0.96,0.96
0.94,0.92,0.92,0.94,0.96,0.96,0.96,0.96,1.04,1.04
0.94,0.94,0.94,0.94,0.96,0.96,1.04,0.96,0.96,0.96
0.14,0.34,0.28,0.28,0.26,0.96,0.96,0.96,1.04,1.04
0.44,0.52,0.48,0.48,0.44,0.88,0.96,0.96,0.96,0.96
0.64,0.66,0.64,0.62,0.6,1.36,1.36,1.44,1.44,1.44
0.72,0.74,0.72,0.72,0.72,1.28,1.44,1.28,1.28,1.28
0.76,0.76,0.78,0.78,0.76,1.2,1.2,1.28,1.2,1.2
0.78,0.8,0.8,0.8,0.78,1.2,1.2,1.2,1.12,1.12
0.8,0.82,0.8,0.8,0.78,1.12,1.28,1.12,1.2,1.2
0.82,0.82,0.84,0.84,0.82,1.12,1.2,1.12,1.2,1.2
0.82,0.84,0.84,0.84,0.82,1.12,1.12,1.12,1.12,1.12
0.84,0.84,0.86,0.86,0.84,1.12,1.12,1.2,1.2,1.2
0.84,0.84,0.86,0.86,0.86,1.12,1.2,1.2,1.04,1.04
0.86,0.86,0.88,0.86,0.86,1.04,1.2,1.04,1.12,1.12
0.86,0.88,0.86,0.88,0.86,1.12,1.04,0.96,1.04,1.04
0.88,0.86,0.9,0.9,0.86,1.04,1.04,1.04,1.04,1.04
0.86,0.88,0.88,0.88,0.86,1.04,1.04,0.96,1.04,1.04
0.86,0.9,0.9,0.88,0.9,1.04,1.04,1.04,0.96,0.96
0.86,0.88,0.9,0.88,0.9,1.04,1.04,1.12,1.04,1.04
0.88,0.9,0.92,0.88,0.9,0.96,1.04,1.04,1.04,1.04
0.92,0.92,0.9,0.92,0.9,1.04,1.04,0.96,1.04,1.04
0.9,0.92,0.9,0.9,0.9,1.04,0.88,0.96,0.96,0.96
0.9,0.92,0.9,0.92,0.92,1.04,0.96,0.88,1.04,1.04
0.9,0.94,0.92,0.92,0.92,0.96,0.96,0.96,1.04,1.04
0.92,0.92,0.92,0.94,0.92,0.88,1.04,1.04,0.96,0.96
0.92,0.94,0.94,0.92,0.94,1.04,0.96,0.96,0.88,0.88
0.94,0.94,0.92,0.96,0.94,1.04,0.8,1.04,0.96,0.96
0.22,0.36,0.32,0.34,0.28,0.96,0.88,0.96,1.04,1.04
0.48,0.54,0.52,0.5,0.46,1.52,0.96,0.88,0.96,0.96
0.66,0.68,0.66,0.64,0.62,1.28,1.36,1.36,1.44,1.44
0.72,0.74,0.74,0.72,0.72,1.28,1.28,1.28,1.28,1.28
0.78,0.78,0.76,0.76,0.78,1.2,1.2,1.28,1.28,1.28
0.78,0.8,0.8,0.8,0.78,1.28,1.28,1.2,1.2,1.2
0.8,0.8,0.8,0.8,0.8,1.2,1.2,1.2,1.2,1.2
0.8,0.84,0.82,0.84,0.82,1.12,1.2,1.2,1.12,1.12
0.86,0.82,0.84,0.84,0.84,1.12,1.12,1.2,1.2,1.2
0.84,0.86,0.84,0.84,0.86,1.04,1.04,1.2,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.12,1.12,1.12,1.2,1.2
0.86,0.86,0.86,0.84,0.88,1.04,1.12,0.96,1.12,1.12
0.86,0.86,0.86,0.88,0.86,1.04,1.2,1.04,1.04,1.04
0.88,0.88,0.88,0.88,0.88,1.12,1.12,0.96,1.12,1.12
0.86,0.86,0.88,0.86,0.9,1.04,1.12,1.12,1.04,1.04
0.86,0.88,0.88,0.88,0.88,0.96,0.96,1.12,1.2,1.2
0.88,0.88,0.9,0.88,0.9,1.04,1.12,1.12,1.04,1.04
0.86,0.9,0.88,0.9,0.9,1.04,1.12,0.96,1.04,1.04
0.9,0.9,0.9,0.9,0.9,1.04,0.96,0.96,0.96,0.96
0.9,0.92,0.92,0.94,0.92,1.04,0.96,1.04,1.04,1.04
0.92,0.92,0.92,0.92,0.9,0.96,0.96,0.96,1.04,1.04
0.9,0.92,0.92,0.94,0.94,0.96,0.96,0.96,0.96,0.96
0.92,0.94,0.94,0.94,0.94,0.96,1.04,0.96,1.04,1.04
0.94,0.94,0.94,0.94,0.94,0.96,0.96,1.04,0.88,0.88
0.94,0.94,0.94,0.96,0.94,1.04,0.88,0.96,1.04,1.04
0.28,0.1,0.34,0.38,0.32,0.96,0.96,0.96,0.8,0.8
0.5,0.4,0.56,0.54,0.52,1.44,0.96,0.96,0.88,0.88
0.66,0.58,0.66,0.68,0.66,1.36,1.44,1.68,1.36,1.36
0.74,0.68,0.74,0.74,0.74,1.28,1.2,1.36,1.28,1.28
0.8,0.74,0.78,0.78,0.76,1.12,1.2,1.28,1.2,1.2
0.78,0.78,0.78,0.78,0.78,1.28,1.2,1.28,1.2,1.2
0.82,0.8,0.82,0.8,0.82,1.2,1.2,1.28,1.2,1.2
0.82,0.82,0.84,0.84,0.84,1.2,1.2,1.12,1.12,1.12
0.82,0.8,0.84,0.86,0.84,1.2,1.12,1.12,1.12,1.12
0.84,0.84,0.86,0.86,0.86,1.2,1.04,1.12,1.12,1.12
0.84,0.86,0.86,0.86,0.86,1.12,1.04,1.2,1.12,1.12
0.86,0.86,0.86,0.86,0.86,1.12,1.04,1.12,1.12,1.12
0.86,0.86,0.86,0.86,0.88,1.12,1.12,1.04,1.04,1.04
0.86,0.86,0.9,0.88,0.88,1.12,1.12,1.04,1.04,1.04
0.88,0.86,0.88,0.9,0.9,1.12,0.96,1.04,1.04,1.04
0.86,0.9,0.88,0.88,0.9,1.04,1.04,1.12,1.04,1.04
0.88,0.88,0.9,0.9,0.9,1.04,1.04,0.96,1.12,1.12
0.88,0.88,0.9,0.9,0.9,1.04,1.04,1.04,1.04,1.04
0.9,0.9,0.92,0.9,0.9,1.04,1.04,0.96,0.96,0.96
0.9,0.9,0.9,0.92,0.9,1.04,1.04,1.04,0.96,0.96
0.9,0.9,0.92,0.94,0.92,0.96,0.96,1.04,0.96,0.96
0.9,0.92,0.92,0.92,0.92,0.88,1.04,0.96,0.96,0.96
0.92,0.94,0.96,0.94,0.94,0.96,1.04,1.04,0.96,0.96
0.92,0.94,0.96,0.94,0.94,0.96,0.96,0.96,0.96,0.96
0.96,0.92,0.16,0.16,0.94,0.96,0.96,0.96,0.96,0.96
0.32,0.22,0.38,0.38,0.34,0.96,0.88,0.96,0.96,0.96
0.56,0.44,0.6,0.58,0.54,1.44,1.6,0.96,0.96,0.96
0.7,0.62,0.7,0.68,0.66,1.28,1.44,1.52,1.6,1.6
0.76,0.72,0.72,0.74,0.74,1.2,1.36,1.36,1.36,1.36
0.78,0.76,0.78,0.78,0.78,1.28,1.28,1.12,1.28,1.28
0.8,0.8,0.8,0.8,0.8,1.2,1.28,1.2,1.2,1.2
0.82,0.8,0.82,0.82,0.82,1.2,1.12,1.2,1.2,1.2
0.84,0.8,0.86,0.84,0.84,1.12,1.12,1.12,1.2,1.2
0.86,0.82,0.86,0.86,0.84,1.12,1.2,1.12,1.2,1.2
0.86,0.84,0.86,0.86,0.86,1.2,1.12,1.04,1.04,1.04
0.86,0.86,0.86,0.86,0.86,1.04,1.2,1.12,1.12,1.12
0.84,0.86,0.86,0.86,0.88,1.04,1.12,1.2,1.04,1.04
0.88,0.86,0.86,0.88,0.86,1.12,1.04,1.12,1.12,1.12
0.88,0.86,0.9,0.88,0.86,1.12,1.04,1.04,1.12,1.12
0.86,0.86,0.88,0.88,0.88,1.04,0.96,1.04,0.96,0.96
0.9,0.88,0.88,0.88,0.9,1.04,1.04,1.04,1.04,1.04
0.88,0.9,0.9,0.9,0.88,1.12,1.04,1.04,1.04,1.04
0.9,0.9,0.9,0.9,0.9,0.96,1.04,0.96,1.04,1.04
0.9,0.9,0.92,0.92,0.9,1.04,0.96,0.96,1.04,1.04
0.92,0.9,0.9,0.92,0.92,1.04,0.96,0.96,0.96,0.96
0.9,0.92,0.9,0.92,0.94,0.96,0.96,1.04,0.96,0.96
0.92,0.92,0.92,0.94,0.94,0.96,1.04,0.96,1.12,1.12
0.94,0.9,0.94,0.94,0.96,1.04,1.04,1.04,0.96,0.96
0.92,0.92,0.94,0.96,0.94,1.04,0.96,0.96,0.96,0.96
0.92,0.94,0.22,0.24,0.16,0.96,0.96,0.88,0.96,0.96
0.36,0.28,0.44,0.44,0.38,0.96,0.96,1.04,0.96,0.96
0.56,0.48,0.62,0.6,0.56,1.44,1.52,0.96,0.96,0.96
0.68,0.62,0.68,0.7,0.7,1.28,1.36,1.52,1.52,1.52
0.74,0.74,0.74,0.76,0.76,1.2,1.36,1.28,1.28,1.28
0.8,0.76,0.8,0.78,0.78,1.2,1.2,1.2,1.12,1.12
0.82,0.78,0.8,0.78,0.8,1.2,1.28,1.2,1.2,1.2
0.8,0.8,0.82,0.82,0.82,1.12,1.2,1.2,1.2,1.2
0.84,0.84,0.84,0.84,0.84,1.12,1.12,1.12,1.2,1.2
0.86,0.84,0.86,0.84,0.84,1.2,1.04,1.12,1.2,1.2
0.86,0.84,0.86,0.86,0.82,1.04,0.96,1.12,1.12,1.12
0.86,0.84,0.86,0.86,0.86,1.12,1.04,1.2,1.04,1.04
0.86,0.86,0.86,0.86,0.86,1.04,1.04,1.12,1.2,1.2
0.86,0.86,0.86,0.88,0.88,1.04,1.12,0.96,1.12,1.12
0.88,0.86,0.9,0.88,0.88,1.04,1.04,1.12,1.04,1.04
0.88,0.86,0.88,0.9,0.86,1.04,0.96,1.04,1.12,1.12
0.88,0.86,0.88,0.9,0.86,1.04,1.2,0.96,1.12,1.12
0.9,0.9,0.88,0.9,0.9,1.04,1.04,1.04,1.04,1.04
0.9,0.9,0.92,0.9,0.92,0.96,1.04,1.2,0.96,0.96
0.92,0.88,0.92,0.92,0.92,1.04,0.96,0.96,1.04,1.04
0.92,0.92,0.9,0.92,0.92,1.04,1.04,0.96,0.96,0.96
0.92,0.92,0.9,0.92,0.92,0.96,0.96,1.04,1.04,1.04
0.92,0.92,0.94,0.92,0.94,0.96,1.04,0.96,1.04,1.04
0.92,0.92,0.94,0.94,0.94,0.96,1.04,1.04,1.04,1.04
0.92,0.92,0.94,0.96,0.94,0.96,0.96,0.88,0.96,0.96
